title,author,year_pub,provider,region,crop,uri,group
"N2Africa farm monitoring - Ghana, 2011","Vanlauwe, B., et.al",2020,IITA,Ghana,legumes,doi:10.25502/mbkp-rq56/d,agronomy
"N2Africa farm monitoring - Ghana, 2012","Vanlauwe, B., et.al",2020,IITA,Ghana,legumes,doi:10.25502/hqss-2192/d,agronomy
"N2Africa farm monitoring - Kenya, 2012","Vanlauwe, B., et.al",2020,IITA,Kenya,legumes,doi:10.25502/t3qs-re90/d,agronomy
"N2Africa farm monitoring - Liberia, 2013","Vanlauwe, B., et.al",2020,IITA,Liberia,legumes,doi:10.25502/gpjj-8d54/d,agronomy
"N2Africa farm monitoring - Nigeria, 2011","Vanlauwe, B., et.al",2020,IITA,Nigeria,legumes,doi:10.25502/33jc-bx81,agronomy
"N2Africa farm monitoring - Nigeria, 2012","Vanlauwe, B., et.al",2020,IITA,Nigeria,legumes,doi:10.25502/1zxn-yy75,agronomy
"N2Africa farm monitoring - Rwanda, 2011","Vanlauwe, B., et.al",2020,IITA,Rwanda,legumes,doi:10.25502/1tnr-jv20,agronomy
"N2Africa farm monitoring - Rwanda, 2012, I","Vanlauwe, B., et.al",2020,IITA,Rwanda,legumes,doi:10.25502/jn3v-pr28,agronomy
"N2Africa farm monitoring - Rwanda, 2012, II","Vanlauwe, B., et.al",2020,IITA,Rwanda,legumes,doi:10.25502/0msx-r973,agronomy
"N2Africa farm monitoring - Tanzania, 2013","Vanlauwe, B., et.al",2020,IITA,Tanzania,legumes,doi:10.25502/0hmc-dp39,agronomy
"N2Africa farm monitoring - Uganda, 2013, I","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/f4b0-n537,agronomy
"N2Africa farm monitoring - Uganda, 2013, II","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/727k-5319,agronomy
"N2Africa farm monitoring - Uganda, 2013, Season II Groundnut","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/zzzd-d180,agronomy
"N2Africa farm monitoring - Uganda, 2013, Season II Soybean","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/k3v2-zr87,agronomy
"N2Africa farm monitoring - Zimbabwe, 2012 - 2013","Vanlauwe, B., et.al",2020,IITA,Zimbabwe,legumes,doi:10.25502/dqaw-f631,agronomy
"N2Africa focal adapt trial - Uganda, 2015, season I climbing bean","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/s5zv-p584,agronomy
"N2Africa focal adapt trial, 2015, I","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/6rjh-ae22,agronomy
"N2Africa focal adapt trial, 2015, II","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/ejjm-hq60,agronomy
"N2Africa household student characterization - Kapchorwa, Uganda, 2014","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/c2yw-2m70,survey
"Africa Soil Information System - Phase 1, Pampaida","Huising, Jeroen",2018,IITA,NGA,NA,doi:10.25502/20180814/1415/HJ,soil_samples
"N2Africa impact survey - Ghana, 2013","Vanlauwe, B., et.al",2020,IITA,Ghana,legumes,doi:10.25502/8pgw-td42,survey
"N2Africa impact survey - Malawi, 2013","Vanlauwe, B., et.al",2020,IITA,Malawi,legumes,doi:10.25502/fcwa-d071,survey
"N2Africa impact survey - Mozambique, 2013","Vanlauwe, B., et.al",2020,IITA,Mozambique,legumes,doi:10.25502/r6mn-jn95,survey
"N2Africa MLE data, 2015","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/094e-da98,survey
"N2Africa MLE data, 2015 - 2017","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/1qq4-w409,survey
"N2Africa MLE data, 2015 - 2019","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/135g-kc39,survey
